Source,Target,like,retweet,both
1299756191879397377,1196514339479597057,True,False,False
1054736254623981569,1196514339479597057,True,False,False
149186936,1196514339479597057,True,False,False
1026403748451692572,1196514339479597057,True,False,False
1369189262030221314,1196514339479597057,True,False,False
1475044109878534147,1196514339479597057,True,False,False
1330803657382760448,1196514339479597057,True,False,False
613169072,1196514339479597057,True,False,False
1322047711,1196514339479597057,True,False,False
1432845140440272896,1196514339479597057,True,False,False
1083373001075277824,1196514339479597057,True,False,False
1456980216329420804,1196514339479597057,True,False,False
282451931,1196514339479597057,True,False,False
1450902616683294727,1196514339479597057,True,False,False
3042665610,1196514339479597057,True,False,False
2311609562,1196514339479597057,True,False,False
1389711978302779393,1196514339479597057,True,False,False
891417992,1196514339479597057,True,False,False
1232819729607168000,1196514339479597057,True,False,False
1235286145333899264,1196514339479597057,True,False,False
1440382962961244166,1196514339479597057,True,False,False
2716784708,1196514339479597057,True,False,False
1497894533278875650,1196514339479597057,True,False,False
1386658929535447041,1196514339479597057,True,False,False
1488110973302964225,1196514339479597057,True,False,False
931225459878227968,1196514339479597057,True,False,False
1102464217825857537,1196514339479597057,True,False,False
1203749009623408640,1196514339479597057,True,False,False
780140008338558978,1196514339479597057,True,False,False
1144965622142574592,1196514339479597057,True,False,False
1242870303732178950,1196514339479597057,True,False,False
1056306615803092994,1196514339479597057,True,False,False
900630816,1196514339479597057,True,False,False
1428999087177703425,1196514339479597057,True,False,False
1324761343443030016,1196514339479597057,True,False,False
986362017593397248,1196514339479597057,True,False,False
1276042250040954880,1196514339479597057,True,False,False
1351916106601136128,1196514339479597057,True,False,False
1494311041727332352,1196514339479597057,True,False,False
1496757771156426753,1196514339479597057,True,False,False
1301537879311691776,1196514339479597057,True,False,False
703871479688126471,1196514339479597057,True,False,False
1134493395420717056,1196514339479597057,True,False,False
1467913240164253698,1196514339479597057,True,False,False
1498263317932294147,1196514339479597057,True,False,False
1363226493820764164,1196514339479597057,True,False,False
1049720359648284672,1196514339479597057,True,False,False
1350317993750790150,1196514339479597057,True,False,False
461356165,1196514339479597057,True,False,False
1344174751078641664,1196514339479597057,True,False,False
1008376939537563649,1196514339479597057,True,False,False
1484391371373182978,1196514339479597057,True,False,False
1128524194717818880,1196514339479597057,True,False,False
2404959432,1196514339479597057,True,False,False
1359371555675930627,1196514339479597057,True,False,False
799869982704279552,1196514339479597057,True,False,False
1403966400289415168,1196514339479597057,True,False,False
1219159538223501313,1196514339479597057,True,False,False
1497839330542653441,1196514339479597057,True,False,False
839197349234765825,1196514339479597057,True,False,False
1205005391484076033,1196514339479597057,True,False,False
1483132556354920450,1196514339479597057,True,False,False
2438562747,1196514339479597057,True,False,False
223445484,1196514339479597057,True,False,False
1362396875278733314,1196514339479597057,True,False,False
